City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
89,Moose Factory,CA,2022-05-18 17:23:43,51.2585,-80.6094,59.0,31,75,18.41
90,San Patricio,US,2022-05-18 17:23:43,28.017,-97.5169,92.16,36,52,20.67
91,Vazante,BR,2022-05-18 17:23:44,-17.9869,-46.9078,65.32,29,57,12.91
92,Qaanaaq,GL,2022-05-18 17:15:28,77.484,-69.3632,29.64,70,98,5.01
93,Atuona,PF,2022-05-18 17:15:23,-9.8,-139.0333,77.11,76,11,15.73
94,Churapcha,RU,2022-05-18 17:23:45,62.0025,132.4325,35.19,93,78,3.89
95,Ios,GR,2022-05-18 17:23:45,36.7333,25.2833,75.11,60,0,1.01
96,Puerto Ayora,EC,2022-05-18 17:16:51,-0.7393,-90.3518,82.36,95,79,1.99
97,Laguna,US,2022-05-18 17:23:46,38.421,-121.4238,81.28,43,0,5.75
98,Yellowknife,CA,2022-05-18 17:15:25,62.456,-114.3525,46.92,49,40,15.01
99,Bambanglipuro,ID,2022-05-18 17:23:47,-7.95,110.2833,76.33,94,100,5.95
100,Kharp,RU,2022-05-18 17:23:48,66.8014,65.8081,33.93,73,59,7.29
101,Kodiak,US,2022-05-18 17:18:12,57.79,-152.4072,54.91,41,0,9.22
102,Pathalgaon,IN,2022-05-18 17:23:48,22.5667,83.4667,86.81,42,99,8.72
103,New Norfolk,AU,2022-05-18 17:15:22,-42.7826,147.0587,49.91,66,46,3.0
104,Inhambane,MZ,2022-05-18 17:23:49,-23.865,35.3833,71.58,88,20,0.0
105,Swan Hill,AU,2022-05-18 17:23:50,-35.3378,143.5544,46.71,69,4,6.82
106,Bulungu,CD,2022-05-18 17:23:50,-4.55,18.6,74.79,81,90,0.76
107,Los Llanos De Aridane,ES,2022-05-18 17:23:17,28.6585,-17.9182,71.35,84,75,8.05
108,Boyolangu,ID,2022-05-18 17:23:51,-8.1181,111.8935,75.97,93,100,1.66
109,Shieli,KZ,2022-05-18 17:23:52,44.1667,66.75,73.63,23,32,12.88
110,Sisimiut,GL,2022-05-18 17:23:52,66.9395,-53.6735,41.83,45,1,8.77
111,Srednekolymsk,RU,2022-05-18 17:18:02,67.45,153.6833,34.74,91,94,5.84
112,Asau,RO,2022-05-18 17:23:53,46.4333,26.4,56.32,62,78,9.71
113,San Julian,MX,2022-05-18 17:23:54,21.0167,-102.1667,75.78,34,33,6.33
114,Thompson,CA,2022-05-18 17:18:04,55.7435,-97.8558,44.76,45,20,10.36
115,Conde,BR,2022-05-18 17:19:01,-7.2597,-34.9075,85.46,66,75,8.05
116,San Quintin,MX,2022-05-18 17:23:55,30.4833,-115.95,63.66,64,66,8.32
117,Dzhida,RU,2022-05-18 17:23:56,50.6772,106.1806,58.57,44,2,1.52
118,Altus,US,2022-05-18 17:23:56,34.6381,-99.334,95.52,31,0,10.36
119,Vardo,NO,2022-05-18 17:23:57,70.3705,31.1107,33.78,80,75,26.46
120,Tuktoyaktuk,CA,2022-05-18 17:15:29,69.4541,-133.0374,30.2,93,100,12.66
121,Nanortalik,GL,2022-05-18 17:23:58,60.1432,-45.2371,38.14,82,20,8.37
122,Mount Darwin,ZW,2022-05-18 17:23:58,-16.7725,31.5838,63.73,50,6,3.74
123,Kloulklubed,PW,2022-05-18 17:24:00,7.0419,134.2556,83.16,78,100,12.97
124,Mantua,IT,2022-05-18 17:24:01,45.1667,10.7833,81.64,59,55,11.65
125,Nadvoitsy,RU,2022-05-18 17:24:01,63.8667,34.3167,38.84,84,85,9.15
126,Leczna,PL,2022-05-18 17:24:02,51.3012,22.8814,62.91,31,0,4.61
127,Berlin,DE,2022-05-18 17:24:03,52.5244,13.4105,75.97,47,0,9.22
128,Arkhipo-Osipovka,RU,2022-05-18 17:24:03,44.37,38.52,59.43,83,88,10.4
129,Bengkulu,ID,2022-05-18 17:24:04,-3.8004,102.2655,76.5,92,21,4.45
130,Bambous Virieux,MU,2022-05-18 17:24:05,-20.3428,57.7575,73.65,88,40,9.22
131,Fort Nelson,CA,2022-05-18 17:24:05,58.8053,-122.7002,51.39,37,20,0.0
132,Mareeba,AU,2022-05-18 17:25:06,-17.0,145.4333,67.44,92,10,2.64
133,Vao,NC,2022-05-18 17:25:06,-22.6667,167.4833,74.97,81,18,17.09
134,Xichang,CN,2022-05-18 17:25:07,27.8964,102.2634,58.05,88,100,5.35
135,Cherskiy,RU,2022-05-18 17:25:08,68.75,161.3,39.24,92,100,2.77
136,Bethel,US,2022-05-18 17:19:04,41.3712,-73.414,69.19,39,0,10.36
137,Pedernales,DO,2022-05-18 17:25:08,18.0384,-71.744,87.78,61,99,5.68
138,Avera,US,2022-05-18 17:25:09,33.194,-82.5271,89.38,30,5,4.52
139,Tres Picos,MX,2022-05-18 17:25:09,15.8667,-93.5333,90.75,56,82,7.49
140,Kurumkan,RU,2022-05-18 17:25:10,54.3,110.3,54.86,57,34,3.58
141,Udachnyy,RU,2022-05-18 17:25:10,66.4167,112.4,40.5,81,93,8.43
142,Tiksi,RU,2022-05-18 17:19:23,71.6872,128.8694,23.77,96,100,6.22
