City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
32,Nouakchott,MR,18.0858,-15.9785,76.93,62,35,19.98,scattered clouds
33,Punta Arenas,CL,-53.15,-70.9167,44.62,100,75,5.75,broken clouds
34,Port Alfred,ZA,-33.5906,26.891,59.18,95,100,5.99,moderate rain
35,Dano,BF,11.15,-3.0667,94.1,29,100,1.79,overcast clouds
36,Emporia,US,38.4039,-96.1817,82.6,54,0,11.5,clear sky
37,Beihai,CN,21.4833,109.1,76.48,87,4,7.56,clear sky
38,Upernavik,GL,72.7868,-56.1549,30.33,83,49,10.31,scattered clouds
39,Manggar,ID,-2.8833,108.2667,79.77,85,86,3.13,overcast clouds
40,Lakselv,NO,70.0513,24.9718,37.22,70,100,5.75,overcast clouds
41,Smithers,CA,54.7804,-127.1743,53.58,60,32,4.52,scattered clouds
42,Busselton,AU,-33.65,115.3333,60.89,78,84,2.46,broken clouds
43,Mission,US,26.2159,-98.3253,95.97,58,40,20.71,scattered clouds
44,Turbat,PK,26.0023,63.044,89.47,41,0,3.53,clear sky
45,Ponta Do Sol,PT,32.6667,-17.1,72.12,78,98,3.51,overcast clouds
46,Pedernales,DO,18.0384,-71.744,88.2,56,100,3.24,overcast clouds
47,Inhambane,MZ,-23.865,35.3833,70.43,86,73,5.23,light rain
48,Qaanaaq,GL,77.484,-69.3632,27.84,87,100,7.36,overcast clouds
49,Adet,ET,11.2644,37.4888,68.36,36,33,8.86,scattered clouds
50,South Bend,US,41.6834,-86.25,81.41,59,0,16.11,clear sky
51,Sinnamary,GF,5.3833,-52.95,81.7,74,37,5.48,scattered clouds
52,Hue,VN,16.4667,107.6,77.11,94,20,0.0,few clouds
53,Hamilton,US,39.1834,-84.5333,83.61,69,40,10.36,scattered clouds
54,Alta Floresta,BR,-9.8756,-56.0861,74.57,40,58,2.84,broken clouds
55,Okahandja,NA,-21.9833,16.9167,56.68,69,7,12.17,clear sky
56,Barsovo,RU,61.1667,73.1667,48.33,90,43,8.84,scattered clouds
57,Zabol,AF,32.25,67.25,68.32,11,0,12.15,clear sky
58,Whyalla,AU,-33.0333,137.5833,54.7,57,0,9.73,clear sky
59,Rostovka,RU,55.3842,71.8891,53.96,54,71,15.03,broken clouds
60,Khatanga,RU,71.9667,102.5,19.94,93,76,4.76,broken clouds
61,Severomuysk,RU,56.1481,113.4267,34.72,86,24,6.46,few clouds
62,Kavieng,PG,-2.5744,150.7967,81.61,78,11,8.48,few clouds
63,Castro,BR,-24.7911,-50.0119,56.32,56,3,6.62,clear sky
64,Baruun-Urt,MN,46.6806,113.2792,59.5,26,42,8.55,scattered clouds
65,Bluff,NZ,-46.6,168.3333,39.79,71,100,19.28,overcast clouds
66,Saint-Philippe,RE,-21.3585,55.7679,71.19,76,42,11.21,scattered clouds
67,Waddan,LY,29.1614,16.139,79.59,25,0,17.36,clear sky
68,Nhulunbuy,AU,-12.2333,136.7667,75.81,88,0,4.61,clear sky
69,Cairns,AU,-16.9167,145.7667,74.07,93,75,8.05,broken clouds
70,Tilichiki,RU,60.4667,166.1,35.46,89,100,1.95,overcast clouds
71,Ibra,OM,22.6906,58.5334,86.13,34,0,3.36,clear sky
72,Bredasdorp,ZA,-34.5322,20.0403,52.95,57,19,4.38,few clouds
73,Veraval,IN,20.9,70.3667,82.08,78,6,14.5,clear sky
74,Kalispell,US,48.1958,-114.3129,44.49,63,100,11.01,overcast clouds
75,Mar Del Plata,AR,-38.0023,-57.5575,57.94,61,0,10.36,clear sky
76,Sladkovo,RU,55.5284,70.3385,51.49,70,84,15.46,broken clouds
77,Tautira,PF,-17.7333,-149.15,78.53,78,10,7.09,clear sky
78,Srednekolymsk,RU,67.45,153.6833,46.54,55,76,4.85,broken clouds
79,Rio Gallegos,AR,-51.6226,-69.2181,44.65,93,100,12.66,light intensity drizzle
80,Slave Lake,CA,55.2834,-114.769,40.06,96,100,9.28,overcast clouds
81,Buarcos,PT,40.166,-8.8768,66.67,75,100,11.79,overcast clouds
82,Hithadhoo,MV,-0.6,73.0833,83.03,75,66,12.15,broken clouds
83,Shingu,JP,33.7333,135.9833,62.51,54,100,4.9,overcast clouds
84,Arraial Do Cabo,BR,-22.9661,-42.0278,67.86,73,40,34.52,scattered clouds
85,Cherskiy,RU,68.75,161.3,45.84,72,37,5.86,scattered clouds
86,Provideniya,RU,64.3833,-173.3,38.75,85,100,4.54,overcast clouds
87,Georgetown,MY,5.4112,100.3354,82.33,83,20,0.0,few clouds
88,Nome,US,64.5011,-165.4064,30.27,100,100,6.91,mist
89,New Norfolk,AU,-42.7826,147.0587,42.91,76,2,2.57,clear sky
90,Lavrentiya,RU,65.5833,-171.0,33.24,96,92,6.96,overcast clouds
91,Sorland,NO,67.667,12.6934,44.46,82,42,8.37,scattered clouds
92,Hasaki,JP,35.7333,140.8333,61.2,78,95,15.26,overcast clouds
93,Coquimbo,CL,-29.9533,-71.3436,64.13,59,0,8.05,clear sky
94,Lebu,CL,-37.6167,-73.65,55.56,88,100,24.74,overcast clouds
95,Narsaq,GL,60.9167,-46.05,53.82,63,12,7.34,few clouds
96,Carnarvon,AU,-24.8667,113.6333,69.84,68,26,13.13,scattered clouds
97,Codrington,AU,-38.2667,141.9667,49.71,76,33,6.73,scattered clouds
98,Pembroke,CA,45.8168,-77.1162,58.17,55,100,6.04,overcast clouds
99,Lorengau,PG,-2.0226,147.2712,81.34,79,36,2.91,scattered clouds
100,Sisimiut,GL,66.9395,-53.6735,43.03,50,5,6.17,clear sky
101,Saint-Pierre,RE,-21.3393,55.4781,71.28,68,0,11.5,clear sky
102,Bonfim,BR,3.0833,-59.95,80.19,72,100,1.12,light rain
103,Saskylakh,RU,71.9167,114.0833,30.49,94,100,3.4,overcast clouds
104,Miri,MY,4.4148,114.0089,78.87,85,100,5.84,moderate rain
105,Paamiut,GL,61.994,-49.6678,35.26,88,59,5.06,broken clouds
106,Magomeni,TZ,-6.8,39.25,75.54,80,99,5.75,overcast clouds
107,Norman Wells,CA,65.282,-126.8329,46.44,66,40,10.36,scattered clouds
108,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,81.72,78,96,15.17,overcast clouds
109,Hangu,CN,39.2489,117.7892,71.64,44,0,6.11,clear sky
110,Sidi Ali,DZ,36.0998,0.4206,80.26,45,28,5.61,scattered clouds
111,Buala,SB,-8.145,159.5921,79.23,79,2,0.94,clear sky
112,Avarua,CK,-21.2078,-159.775,78.15,77,32,17.63,light rain
113,Glossa,GR,35.4717,23.7763,61.09,67,7,20.83,clear sky
114,Kavaratti,IN,10.5669,72.642,82.99,75,100,8.59,overcast clouds
115,Nemuro,JP,43.3236,145.575,46.58,95,100,13.04,overcast clouds
116,Havoysund,NO,70.9963,24.6622,35.83,72,100,4.16,overcast clouds
117,Tiksi,RU,71.6872,128.8694,24.96,97,100,7.29,overcast clouds
118,Tuktoyaktuk,CA,69.4541,-133.0374,32.0,93,100,6.91,overcast clouds
119,Salinopolis,BR,-0.6136,-47.3561,78.84,87,100,7.23,overcast clouds
120,Safford,US,32.834,-109.7076,90.52,12,0,6.91,clear sky
121,Ixtapa,MX,20.7,-105.2,81.63,65,0,12.66,clear sky
122,Vaini,TO,-21.2,-175.2,75.36,78,40,6.91,scattered clouds
123,Batemans Bay,AU,-35.7167,150.1833,50.09,74,92,5.86,overcast clouds
124,Lata,PT,40.1629,-8.3327,69.93,54,100,3.83,overcast clouds
125,Naze,JP,28.3667,129.4833,68.65,85,100,13.67,heavy intensity rain
126,Pasni,PK,25.2631,63.471,82.65,85,0,12.77,clear sky
127,Hilo,US,19.7297,-155.09,92.28,85,75,11.99,broken clouds
128,College,US,64.8569,-147.8028,60.1,45,20,4.61,few clouds
129,Gedo,ET,9.0167,37.45,57.06,69,99,3.27,overcast clouds
130,Yulara,AU,-25.2406,130.9889,52.27,74,5,9.51,clear sky
131,Gamba,GA,-2.65,10.0,76.69,88,89,4.79,overcast clouds
132,Tuatapere,NZ,-46.1333,167.6833,43.32,85,100,11.74,overcast clouds
133,Nikolskoye,RU,59.7035,30.7861,49.89,61,0,2.84,clear sky
134,Logan Lake,CA,50.4998,-120.8025,39.22,70,100,9.33,overcast clouds
135,Krasnoselkup,RU,65.7,82.4667,50.04,80,97,14.85,overcast clouds
136,Malatya,TR,38.5,38.0,55.45,58,40,5.75,scattered clouds
137,Geraldton,AU,-28.7667,114.6,61.21,94,100,5.75,overcast clouds
138,Abu Samrah,SY,35.3029,37.1841,69.87,46,0,7.31,clear sky
139,Sitka,US,57.0531,-135.33,53.49,66,20,5.75,few clouds
140,Hobart,AU,-42.8794,147.3294,43.27,86,3,4.61,clear sky
141,Half Moon Bay,US,37.4636,-122.4286,84.54,56,0,24.16,haze
142,Kamaishi,JP,39.2667,141.8833,55.45,77,85,8.05,overcast clouds
143,Ahuimanu,US,21.4447,-157.8378,81.36,77,20,11.5,few clouds
144,Kaitangata,NZ,-46.2817,169.8464,43.29,90,100,11.92,overcast clouds
145,Dunedin,NZ,-45.8742,170.5036,46.8,60,100,7.0,overcast clouds
146,Fortuna,US,40.5982,-124.1573,59.09,70,75,16.11,broken clouds
147,Sechelt,CA,49.4664,-123.7694,57.45,63,85,10.69,overcast clouds
148,Beringovskiy,RU,63.05,179.3167,35.51,90,100,1.74,overcast clouds
149,Barrow,US,71.2906,-156.7887,24.82,86,100,18.41,light snow
150,Angoche,MZ,-16.2325,39.9086,75.34,72,5,4.59,clear sky
151,Navrongo,GH,10.8956,-1.0921,91.9,37,100,0.92,overcast clouds
152,Dudinka,RU,69.4058,86.1778,33.62,85,100,5.3,overcast clouds
153,La Rioja,ES,42.25,-2.5,76.78,46,100,5.66,overcast clouds
154,Fort Nelson,CA,58.8053,-122.7002,52.56,46,55,10.33,light rain
155,Nara,JP,34.6851,135.8049,63.7,48,100,1.72,overcast clouds
156,Charters Towers,AU,-20.1,146.2667,65.14,76,71,8.14,broken clouds
157,Viedma,AR,-40.8135,-62.9967,58.48,29,87,17.58,overcast clouds
158,Khotyn,UA,48.4833,26.5,54.41,68,100,3.47,overcast clouds
159,Lompoc,US,34.6391,-120.4579,84.69,63,0,11.5,clear sky
160,Pailon,BO,-17.65,-62.75,73.08,18,21,3.76,few clouds
161,Chapais,CA,49.7834,-74.8492,54.18,61,100,7.27,overcast clouds
162,Dikson,RU,73.5069,80.5464,30.54,77,100,13.51,overcast clouds
163,Pacific Grove,US,36.6177,-121.9166,75.15,70,0,11.99,clear sky
164,Iqaluit,CA,63.7506,-68.5145,29.7,80,100,4.0,overcast clouds
165,Oxbow,CA,49.2333,-102.1676,52.65,67,100,15.23,overcast clouds
166,Awjilah,LY,29.1081,21.2869,76.42,39,0,18.68,clear sky
167,Bria,CF,6.5423,21.9863,69.98,96,100,5.46,moderate rain
168,Agirish,RU,61.9247,63.0231,41.23,82,88,7.56,overcast clouds
169,Cortez,US,37.3489,-108.5859,81.36,13,0,16.11,clear sky
170,Port-Gentil,GA,-0.7193,8.7815,78.37,87,100,9.78,light rain
171,Salalah,OM,17.0151,54.0924,82.49,89,20,3.44,few clouds
172,Port Hedland,AU,-20.3167,118.5667,71.65,100,0,3.44,clear sky
173,Caravelas,BR,-17.7125,-39.2481,75.81,35,100,4.7,overcast clouds
174,Aksarka,RU,66.5606,67.7975,34.14,96,100,20.2,overcast clouds
175,Shelburne,CA,44.0787,-80.2041,62.91,65,14,11.41,few clouds
176,Sabang,ID,5.8933,95.3214,83.34,78,100,13.91,overcast clouds
177,Masvingo,ZW,-20.0637,30.8277,61.09,71,48,5.66,scattered clouds
178,Desaguadero,PE,-16.5656,-69.0417,53.24,26,100,3.98,overcast clouds
179,Aklavik,CA,68.2191,-135.0107,33.89,91,100,1.52,overcast clouds
180,Saint-Joseph,RE,-21.3667,55.6167,70.18,75,24,11.63,few clouds
181,Xinmin,CN,41.9908,122.8253,59.25,63,0,8.93,clear sky
182,Tarakan,ID,3.3,117.6333,80.91,81,96,3.47,overcast clouds
183,Bintulu,MY,3.1667,113.0333,79.7,84,100,4.72,overcast clouds
184,Coihaique,CL,-45.5752,-72.0662,43.41,81,100,4.61,overcast clouds
185,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,69.69,98,100,1.95,overcast clouds
186,Koygorodok,RU,60.445,50.9968,33.49,72,76,3.29,broken clouds
187,Mahebourg,MU,-20.4081,57.7,72.25,76,78,12.35,broken clouds
188,Turkmenabat,TM,39.0733,63.5786,81.55,25,70,14.23,broken clouds
189,Cap Malheureux,MU,-19.9842,57.6142,72.46,79,63,1.99,broken clouds
190,Cayenne,GF,4.9333,-52.3333,84.24,1,75,6.91,broken clouds
191,Touros,BR,-5.1989,-35.4608,83.88,69,98,7.18,overcast clouds
192,Ugoofaaru,MV,5.6667,73.0,83.28,79,100,16.82,overcast clouds
193,Shar,KZ,49.5886,81.0453,61.23,70,74,2.04,broken clouds
194,Mecca,SA,21.4267,39.8261,90.1,29,0,4.99,clear sky
195,Likasi,CD,-10.9814,26.7333,64.33,71,33,1.03,scattered clouds
196,Champerico,GT,14.3,-91.9167,93.74,63,84,10.11,broken clouds
197,Washington,US,47.5001,-120.5015,55.89,31,78,14.58,broken clouds
198,Cape Town,ZA,-33.9258,18.4232,56.91,65,3,7.0,clear sky
199,Bethel,US,41.3712,-73.414,60.03,84,100,5.75,overcast clouds
200,Kapaa,US,22.0752,-159.319,79.12,87,40,12.66,scattered clouds
201,Prien,US,30.1819,-93.2738,90.01,55,0,17.27,clear sky
202,Taltal,CL,-25.4,-70.4833,64.02,69,12,5.08,few clouds
203,Kodiak,US,57.79,-152.4072,54.91,47,0,4.61,clear sky
204,Thinadhoo,MV,0.5333,72.9333,83.68,75,100,13.0,overcast clouds
205,Oudtshoorn,ZA,-33.5907,22.2014,52.47,82,100,1.23,overcast clouds
206,Grindavik,IS,63.8424,-22.4338,52.27,76,75,9.22,broken clouds
207,Port Elizabeth,ZA,-33.918,25.5701,56.1,87,100,15.3,light rain
208,Xixiang,CN,35.1628,112.865,63.36,68,100,3.74,overcast clouds
209,Faanui,PF,-16.4833,-151.75,80.47,69,0,8.7,clear sky
210,Cabo San Lucas,MX,22.8909,-109.9124,86.31,37,0,11.5,clear sky
211,Denpasar,ID,-8.65,115.2167,79.09,82,100,5.84,overcast clouds
212,Mutare,ZW,-18.9707,32.6709,61.84,75,99,3.0,overcast clouds
213,Tukrah,LY,32.5341,20.5791,64.99,77,32,21.74,scattered clouds
214,Shache,CN,38.4167,77.2406,74.57,31,100,8.05,overcast clouds
215,San Patricio,US,28.017,-97.5169,92.12,42,0,20.78,clear sky
216,Aitape,PG,-3.1374,142.3475,77.25,88,100,3.85,overcast clouds
217,Saint George,US,37.1041,-113.5841,93.63,12,0,16.11,clear sky
218,Chokurdakh,RU,70.6333,147.9167,31.96,92,100,4.68,overcast clouds
219,Ilulissat,GL,69.2167,-51.1,32.02,80,0,6.91,clear sky
220,Port Blair,IN,11.6667,92.75,81.72,80,100,17.54,moderate rain
221,Srikakulam,IN,18.3,83.9,84.87,81,100,11.86,light rain
222,Altus,US,34.6381,-99.334,101.52,26,0,12.66,clear sky
223,Kaeo,NZ,-35.1,173.7833,54.32,96,100,10.16,overcast clouds
224,Asau,RO,46.4333,26.4,54.52,65,21,3.94,few clouds
225,Mount Isa,AU,-20.7333,139.5,65.97,63,6,6.91,clear sky
226,Shubarkuduk,KZ,49.1447,56.4872,55.6,71,98,5.66,overcast clouds
227,Longyearbyen,SJ,78.2186,15.6401,30.04,74,75,12.66,broken clouds
228,Grand Forks,US,47.9417,-97.4337,58.73,67,100,0.0,moderate rain
229,Kuandian,CN,40.7286,124.7847,53.44,77,100,2.73,overcast clouds
230,Natal,BR,-5.795,-35.2094,86.65,66,20,13.8,few clouds
231,Murdochville,CA,48.9583,-65.5006,56.39,36,100,8.28,overcast clouds
232,Havelock,US,34.8791,-76.9013,92.98,77,12,8.01,few clouds
233,Kyaukse,MM,21.6,96.1333,84.56,65,92,5.5,overcast clouds
234,Vostok,RU,46.4856,135.8833,43.2,97,18,4.97,few clouds
235,Vila Franca Do Campo,PT,37.7167,-25.4333,63.01,82,39,14.0,scattered clouds
236,Svetlogorsk,BY,52.6333,29.7333,51.66,82,97,6.26,overcast clouds
237,Zaraza,VE,9.3503,-65.3245,99.16,22,58,8.43,broken clouds
238,Tainan,TW,22.9908,120.2133,75.87,84,96,2.91,overcast clouds
239,Bridlington,GB,54.0831,-0.1919,60.53,65,73,4.25,broken clouds
240,Nisia Floresta,BR,-6.0911,-35.2086,86.81,76,96,7.76,overcast clouds
241,Paciran,ID,-6.8767,112.3761,78.53,88,100,7.2,overcast clouds
242,Dingle,PH,10.9995,122.6711,78.12,86,68,4.59,broken clouds
243,Adrar,MR,20.5022,-10.0711,89.91,7,34,2.51,scattered clouds
244,Mnogovershinnyy,RU,53.9353,139.9242,29.59,93,96,2.48,overcast clouds
245,Bara,NG,10.3744,10.7288,87.78,46,100,2.98,overcast clouds
246,Zhigansk,RU,66.7697,123.3711,30.85,82,1,4.52,clear sky
247,Russell,US,32.3502,-85.1999,91.9,31,3,7.29,clear sky
248,Constantine,DZ,36.365,6.6147,80.01,38,20,12.66,few clouds
249,Pevek,RU,69.7008,170.3133,31.87,99,100,2.71,overcast clouds
250,Belaya Gora,RU,68.5333,146.4167,33.64,91,100,4.43,overcast clouds
251,La Romana,DO,18.4273,-68.9728,88.16,74,20,9.22,few clouds
252,Victoria,HK,22.2855,114.1577,78.85,80,83,5.99,broken clouds
253,Sun Valley,US,39.5963,-119.776,79.72,27,75,14.0,broken clouds
254,Ambilobe,MG,-13.2,49.05,70.88,82,100,3.65,overcast clouds
255,Davila,PH,18.4726,120.5763,77.79,90,100,15.75,overcast clouds
256,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.29,42,0,9.33,clear sky
257,Kruisfontein,ZA,-34.0033,24.7314,53.89,91,100,11.12,light rain
258,Limbang,MY,4.75,115.0,77.11,99,100,3.11,light rain
259,Winona,US,43.9666,-91.7668,69.67,73,100,3.44,heavy intensity rain
260,Lutry,CH,46.5024,6.6865,75.76,62,96,5.12,overcast clouds
261,Hirara,JP,24.8,125.2833,76.42,87,100,19.46,moderate rain
262,Fengcheng,CN,40.4536,124.0717,53.11,90,92,0.98,overcast clouds
263,Garowe,SO,8.4054,48.4845,89.22,34,34,23.02,scattered clouds
264,Guerrero Negro,MX,27.9769,-114.0611,68.18,55,2,11.43,clear sky
265,Mahuva,IN,21.0914,71.7622,86.45,54,5,14.7,clear sky
266,La Ronge,CA,55.1001,-105.2842,45.25,56,98,13.89,overcast clouds
267,Pokhara,NP,28.2333,83.9833,72.88,51,0,8.08,clear sky
268,Eureka,US,40.8021,-124.1637,62.67,71,54,10.0,broken clouds
269,Ancud,CL,-41.8697,-73.8203,55.85,80,100,14.05,overcast clouds
270,Bengkulu,ID,-3.8004,102.2655,75.99,89,20,3.33,few clouds
271,Maceio,BR,-9.6658,-35.7353,85.44,74,40,10.36,scattered clouds
272,Tasiilaq,GL,65.6145,-37.6368,37.56,88,100,4.68,overcast clouds
273,Ghugus,IN,19.9333,79.1333,94.68,40,99,11.14,overcast clouds
274,Puerto Ayora,EC,-0.7393,-90.3518,84.16,89,84,3.0,broken clouds
275,Alofi,NU,-19.0595,-169.9187,78.42,79,100,20.09,light rain
276,Am Timan,TD,11.0297,20.2827,92.21,33,56,2.68,broken clouds
277,Kenai,US,60.5544,-151.2583,64.02,38,0,0.0,clear sky
278,Axim,GH,4.8699,-2.2405,79.43,87,100,7.31,light rain
279,Barcelos,PT,41.5388,-8.6151,69.91,68,100,5.61,overcast clouds
280,Qaqortoq,GL,60.7167,-46.0333,39.36,65,12,6.44,few clouds
281,Raahe,FI,64.6833,24.4833,42.89,80,6,1.95,clear sky
282,Nanortalik,GL,60.1432,-45.2371,38.52,66,8,10.65,clear sky
283,Sercaia,RO,45.8333,25.1333,50.13,69,7,4.56,clear sky
284,Doha,QA,25.2867,51.5333,96.78,19,0,12.66,clear sky
285,Laureles,US,26.1092,-97.4941,91.11,61,40,21.85,scattered clouds
286,Inyonga,TZ,-6.7167,32.0667,65.25,71,17,3.96,few clouds
287,Yellowknife,CA,62.456,-114.3525,44.56,39,0,11.01,clear sky
288,Correntina,BR,-13.3433,-44.6367,81.5,22,100,6.4,overcast clouds
289,Dire Dawa,ET,9.5931,41.8661,75.99,25,60,7.78,broken clouds
290,Pisco,PE,-13.7,-76.2167,70.02,73,20,9.22,few clouds
291,Bogorodskoye,RU,56.55,37.8833,38.73,89,9,4.74,clear sky
292,Chuy,UY,-33.6971,-53.4616,60.67,57,12,6.71,few clouds
293,Leningradskiy,RU,69.3833,178.4167,31.98,86,95,4.0,overcast clouds
294,Ust-Kan,RU,50.9276,84.761,50.9,87,3,3.8,clear sky
295,Neftcala,AZ,39.3742,49.2472,65.07,77,0,8.93,clear sky
296,Tigil,RU,57.8,158.6667,42.94,91,100,6.04,light rain
297,Constitucion,CL,-35.3333,-72.4167,55.17,89,100,17.43,overcast clouds
298,Kalevala,RU,65.2,31.1667,36.03,68,40,1.34,scattered clouds
299,Bajil,YE,15.0584,43.2851,90.32,34,6,3.98,clear sky
300,Energeticheskiy,KZ,43.4278,77.0222,59.56,77,40,4.47,scattered clouds
301,Marsh Harbour,BS,26.5412,-77.0636,80.82,73,53,2.91,broken clouds
302,Vredendal,ZA,-31.6683,18.5012,56.57,58,2,17.16,clear sky
303,Ribeira Grande,PT,38.5167,-28.7,64.8,68,20,12.66,few clouds
304,Port Macquarie,AU,-31.4333,152.9167,56.89,62,100,7.25,overcast clouds
305,Yantzaza,EC,-3.8278,-78.7594,73.81,81,91,3.38,light rain
306,Zhanjiang,CN,21.2815,110.3427,74.08,92,12,5.91,few clouds
307,Gao,ML,16.6362,1.637,93.0,6,2,8.05,clear sky
308,Saldanha,ZA,-33.0117,17.9442,58.96,62,1,18.07,clear sky
309,Genhe,CN,50.7833,121.5167,48.15,66,57,3.31,broken clouds
310,Meulaboh,ID,4.1363,96.1285,77.49,89,95,4.56,overcast clouds
311,Riyadh,SA,24.6877,46.7219,93.34,10,0,2.17,clear sky
312,Kapuskasing,CA,49.4169,-82.4331,49.68,83,100,4.27,overcast clouds
313,Naberera,TZ,-4.2,36.9333,58.28,93,45,7.25,scattered clouds
314,Auki,SB,-8.7676,160.7034,76.26,87,2,2.51,clear sky
315,Bossangoa,CF,6.4926,17.4552,77.31,73,92,3.44,overcast clouds
316,Airai,TL,-8.9266,125.4092,57.61,91,54,3.65,broken clouds
317,Praia Da Vitoria,PT,38.7333,-27.0667,60.26,79,11,13.53,few clouds
318,Atar,MR,20.5169,-13.0499,97.57,10,100,10.94,overcast clouds
319,Vao,NC,-22.6667,167.4833,75.45,82,44,20.67,scattered clouds
320,Sekoma,BW,-24.4,23.8833,63.54,39,17,7.96,few clouds
321,Sabalgarh,IN,26.25,77.4,95.99,11,0,2.26,clear sky
322,The Valley,AI,18.217,-63.0578,84.81,73,25,12.12,scattered clouds
323,Talnakh,RU,69.4865,88.3972,33.21,88,99,5.82,overcast clouds
324,Witu,KE,-2.3889,40.4382,77.77,82,75,10.49,broken clouds
325,Faya,SA,18.3851,42.4509,73.92,15,1,14.7,clear sky
326,Hambantota,LK,6.1241,81.1185,79.18,86,79,14.09,broken clouds
327,Doka,SD,13.5167,35.7667,94.55,21,9,6.89,clear sky
328,Beaumont,US,30.0861,-94.1019,91.11,49,40,16.11,scattered clouds
329,Cockburn Town,TC,21.4612,-71.1419,81.0,82,100,13.8,overcast clouds
330,Pathein,MM,16.7833,94.7333,79.56,84,100,7.36,moderate rain
331,Kadoma,JP,34.7333,135.5833,66.65,48,100,1.14,overcast clouds
332,Gornopravdinsk,RU,60.05,69.9,47.68,96,91,7.87,overcast clouds
333,Qufu,CN,35.5967,116.9911,60.76,67,0,3.6,clear sky
334,Broken Hill,AU,-31.95,141.4333,49.39,65,100,14.16,overcast clouds
335,Lakki Marwat,PK,32.6079,70.9114,93.22,18,0,10.56,clear sky
336,Satipo,PE,-11.2522,-74.6386,77.49,61,100,1.45,overcast clouds
337,Neuquen,AR,-38.9516,-68.0591,65.08,26,49,12.19,scattered clouds
338,Isangel,VU,-19.55,169.2667,76.14,93,100,16.82,moderate rain
339,Kiama,AU,-34.6833,150.8667,57.99,70,98,1.99,overcast clouds
340,Acapulco,MX,16.8634,-99.8901,85.82,62,0,12.66,clear sky
341,Ixtacomitan,MX,17.4167,-93.1,98.44,31,74,5.5,broken clouds
342,Talcahuano,CL,-36.7167,-73.1167,56.88,88,100,19.57,overcast clouds
343,Verkhoshizhemye,RU,58.011,49.1038,38.17,96,100,6.06,moderate rain
344,Sioux Lookout,CA,50.1001,-91.917,58.12,41,100,2.33,overcast clouds
345,Poum,NC,-20.2333,164.0167,78.12,77,5,7.02,clear sky
346,Subiaco,IT,41.9254,13.0941,67.82,60,4,0.94,clear sky
347,Darnah,LY,32.767,22.6367,65.68,77,87,11.88,overcast clouds
348,Bazarnyy Syzgan,RU,53.7512,46.7535,40.41,88,17,5.44,few clouds
